subject,type,questionText,options,correctAnswer,difficulty
Science,blank,The powerhouse of the cell is the ______.,,mitochondria,1
Science,choice,What is the hardest natural substance on Earth?,Diamond|Gold|Iron|Silver,Diamond, 1
Science,blank,The Milky Way is a type of ______.,,galaxy,1
Science,choice,What is the second most abundant gas in the Earth's atmosphere?,Oxygen|Nitrogen|Carbon dioxide|Argon,Oxygen, 2
Science,blank,The chemical formula for glucose is ______.,,C6H12O6,2
Science,choice,What is the largest planet in our solar system?,Jupiter|Saturn|Uranus|Neptune,Jupiter, 2
Science,blank,The process of water turning into vapor is called ______.,,evaporation,2
Science,choice,What is the chemical symbol for gold?,Au|Ag|Pb|Fe, Au, 2
Science,blank,The unit of electric current is ______.,,ampere,2
Science,choice,What is the boiling point of water in Fahrenheit?,212°F|100°F|180°F|200°F,212°F, 2
Science,blank,The center of an atom is called the ______.,,nucleus,2
Science,choice,What planet is known as the Morning Star?,Venus|Mars|Mercury|Jupiter,Venus, 2
Science,blank,The periodic table was created by ______.,,Mendeleev,2
Science,choice,What is the most abundant gas in the Earth's atmosphere?,Nitrogen|Oxygen|Carbon dioxide|Helium,Nitrogen, 2
Science,blank,The process of turning solid directly into gas is called ______.,,sublimation,2
Science,choice,What is the main gas in the Earth's atmosphere?,Nitrogen|Oxygen|Carbon dioxide|Helium,Nitrogen, 2
Science,blank,The largest planet in our solar system is ______.,,Jupiter,2
Science,choice,What is the primary gas found in the Earth's atmosphere?,Nitrogen|Oxygen|Carbon dioxide|Helium,Nitrogen, 2
Science,blank,The chemical formula for carbon dioxide is ______.,,CO2,2
Science,choice,What is the chemical symbol for oxygen?,O|O2|Ox|O3, O, 2
Science,blank,The chemical formula for table salt is ______.,,NaCl,2
Science,choice,What is the powerhouse of the cell?,Mitochondria|Nucleus|Ribosome|Lysosome,Mitochondria, 2
Science,blank,The smallest unit of life is the ______.,,cell,2
Science,choice,What gas do plants absorb during photosynthesis?,Carbon dioxide|Oxygen|Nitrogen|Hydrogen, Carbon dioxide, 2
Science,blank,The primary gas in the Earth's atmosphere is ______.,,nitrogen,2
Science,choice,What is the chemical symbol for hydrogen?,H|H2|Hy|H3, H, 2
Science,blank,The unit of measure for electric current is ______.,,ampere,2
Science,blank,The process by which green plants make their own food is called ______.,,photosynthesis,3
Science,blank,The unit of measurement for electric current is the ______.,,ampere,3
Science,blank,The chemical symbol for sodium is ______.,,Na,3
Science,blank,The theory that explains the origin of the universe is known as the ______ theory.,,Big Bang,3
Science,blank,The process of burning a substance with oxygen is called ______.,,combustion,3
Science,choice,Which of the following is a renewable energy source?,"Coal|Natural Gas|Wind|Gasoline",Wind,3
Science,choice,What is the process called when water changes from a liquid to a gas?,"Evaporation|Condensation|Sublimation|Precipitation",Evaporation,3
Science,choice,Which of the following is a compound?,"Oxygen|Hydrogen|Water|Nitrogen",Water,3
Science,choice,Which of the following is a physical property of matter?,"Color|Density|Taste|Chemical Composition",Density,3
Science,choice,What is the name of the force that attracts objects towards each other?,"Gravity|Friction|Magnetism|Buoyancy",Gravity,3

Geography,choice,What is the capital of France?,Paris|London|Berlin|Madrid, Paris, 1
Geography,blank,The largest ocean on Earth is the ______.,,Pacific,1
Geography,choice,What is the longest river in the world?,Nile|Amazon|Yangtze|Mississippi, Nile, 1
Geography,blank,Mount Everest is located in ______.,,Nepal,1
Geography,choice,What is the smallest country in the world?,Vatican City|Monaco|Nauru|San Marino, Vatican City, 1
Geography,blank,The Sahara Desert is located in ______.,,Africa,1
Geography,choice,What is the largest country by area?,Russia|Canada|USA|China, Russia, 1
Geography,blank,The Great Barrier Reef is located in ______.,,Australia,1
Geography,choice,What is the most populous country in the world?,China|India|USA|Indonesia, China, 1
Geography,blank,The Andes mountain range is in ______.,,South America,1
Geography,choice,What is the capital of Japan?,Tokyo|Kyoto|Osaka|Nagoya, Tokyo, 1
Geography,blank,The Amazon rainforest is in ______.,,Brazil,1
Geography,choice,What is the highest mountain in Africa?,Kilimanjaro|Everest|Elbrus|Aconcagua, Kilimanjaro, 1
Geography,blank,The Nile River flows into the ______.,,Mediterranean Sea,1
Geography,choice,What is the capital of Canada?,Ottawa|Toronto|Vancouver|Montreal, Ottawa, 1
Geography,blank,The largest desert in the world is the ______.,,Antarctic Desert,1
Geography,choice,What is the capital of Italy?,Rome|Milan|Florence|Venice, Rome, 1
Geography,blank,The longest river in the USA is the ______.,,Missouri River,1
Geography,choice,What is the capital of Australia?,Canberra|Sydney|Melbourne|Perth, Canberra, 1
Geography,blank,The largest lake in the world by area is ______.,,Caspian Sea,1
Geography,choice,What is the capital of Spain?,Madrid|Barcelona|Valencia|Seville, Madrid, 2
Geography,blank,The Great Wall of China is located in ______.,,China,2
Geography,choice,What is the capital of Russia?,Moscow|Saint Petersburg|Novosibirsk|Yekaterinburg, Moscow, 2
Geography,blank,The highest mountain in the world is ______.,,Everest,2
Geography,choice,What is the largest continent by area?,Asia|Africa|North America|South America, Asia, 2
Geography,blank,The Amazon River is located in ______.,,South America,2
Geography,choice,What is the smallest continent by area?,Australia|Europe|Antarctica|South America, Australia, 2
Geography,blank,The largest island in the world is ______.,,Greenland,2
Geography,choice,What is the capital of Germany?,Berlin|Munich|Hamburg|Frankfurt, Berlin, 2
Geography,blank,The longest river in Africa is the ______.,,Nile,2
Geography,choice,What is the capital of China?,Beijing|Shanghai|Hong Kong|Guangzhou, Beijing, 2
Geography,blank,The largest city in the USA is ______.,,New York City,2
Geography,choice,What is the capital of India?,New Delhi|Mumbai|Kolkata|Chennai, New Delhi, 2
Geography,blank,The longest river in Asia is the ______.,,Yangtze,2
Geography,choice,What is the capital of Brazil?,Brasilia|Rio de Janeiro|Sao Paulo|Salvador, Brasilia, 2
Geography,blank,The highest mountain in South America is ______.,,Aconcagua,2
Geography,choice,What is the capital of the UK?,London|Edinburgh|Cardiff|Belfast, London, 2
Geography,blank,The largest city in Canada is ______.,,Toronto,2
Geography,choice,What is the capital of Egypt?,Cairo|Alexandria|Giza|Luxor, Cairo, 2
Geography,blank,The longest river in Europe is the ______.,,Volga,2
Geography,choice,What is the capital of South Africa?,Pretoria|Johannesburg|Cape Town|Durban, Pretoria, 2
Geography,blank,The highest mountain in Europe is ______.,,Elbrus,2
Geography,choice,What is the capital of Mexico?,Mexico City|Guadalajara|Monterrey|Tijuana, Mexico City, 2
Geography,blank,The largest desert in Africa is the ______.,,Sahara,2
Geography,blank,The largest ocean in the world is the ______ Ocean.,,Pacific,3
Geography,blank,The equator is an imaginary line that divides the Earth into the ______ and ______ hemispheres.,,Northern and Southern,3
Geography,blank,The Amazon River flows through the country of ______.,,Brazil,3
Geography,blank,The capital city of Australia is ______.,,Canberra,3
Geography,blank,The highest mountain peak in the world is ______.,,Mount Everest,3
Geography,choice,Which of the following is a landlocked country?,"Australia|Japan|Switzerland|Brazil",Switzerland,3
Geography,choice,Which of the following is a desert?,"Sahara|Mississippi|Everglades|Amazon",Sahara,3
Geography,choice,What is the name of the largest continent in the world?,"Asia|Africa|North America|Europe",Asia,3
Geography,choice,Which of the following is a peninsula?,"Hawaii|Greenland|Iceland|Malta",Malta,3
Geography,choice,Which of the following is a strait?,"Nile|English Channel|Everest|Andes",English Channel,3

English,choice,What is the synonym of 'big'?,large|small|tiny|huge, large, 1
English,blank,A ______ is used to end a sentence.,,period,1
English,choice,What is the antonym of 'happy'?,sad|joyful|angry|excited, sad, 1
English,blank,The past tense of 'run' is ______.,,ran,1
English,choice,What is the synonym of 'fast'?,quick|slow|steady|calm, quick, 1
English,blank,The plural of 'child' is ______.,,children,1
English,choice,What is the antonym of 'hot'?,cold|warm|cool|lukewarm, cold, 1
English,blank,A ______ is used to ask a question.,,question mark,1
English,choice,What is the synonym of 'smart'?,intelligent|dumb|stupid|foolish, intelligent, 1
English,blank,The past tense of 'eat' is ______.,,ate,1
English,choice,What is the antonym of 'new'?,old|fresh|recent|modern, old, 1
English,blank,The plural of 'foot' is ______.,,feet,1
English,choice,What is the synonym of 'easy'?,simple|hard|difficult|tough, simple, 1
English,blank,A ______ is used to show excitement.,,exclamation mark,1
English,choice,What is the antonym of 'light'?,heavy|bright|shiny|luminous, heavy, 1
English,blank,The past tense of 'give' is ______.,,gave,1
English,choice,What is the synonym of 'thin'?,slim|fat|thick|wide, slim, 1
English,blank,The plural of 'tooth' is ______.,,teeth,1
English,choice,What is the antonym of 'young'?,old|new|fresh|recent, old, 1
English,blank,A ______ is used to show possession.,,apostrophe,1
English,choice,What is the synonym of 'begin'?,start|end|finish|conclude, start, 2
English,blank,The past tense of 'come' is ______.,,came,2
English,choice,What is the antonym of 'hard'?,soft|firm|solid|stiff, soft, 2
English,blank,The plural of 'man' is ______.,,men,2
English,choice,What is the synonym of 'angry'?,mad|calm|happy|pleased, mad, 2
English,blank,A ______ is used to join two words together.,,hyphen,2
English,choice,What is the antonym of 'noisy'?,quiet|loud|shrill|boisterous, quiet, 2
English,blank,The past tense of 'see' is ______.,,saw,2
English,choice,What is the synonym of 'beautiful'?,pretty|ugly|plain|ordinary, pretty, 2
English,blank,The plural of 'mouse' is ______.,,mice,2
English,choice,What is the antonym of 'big'?,small|huge|enormous|large, small, 2
English,blank,A ______ is used to separate items in a list.,,comma,2
English,choice,What is the synonym of 'small'?,tiny|large|big|huge, tiny, 2
English,blank,The past tense of 'drink' is ______.,,drank,2
English,choice,What is the antonym of 'sweet'?,bitter|sour|salty|savory, bitter, 2
English,blank,The plural of 'goose' is ______.,,geese,2
English,choice,What is the synonym of 'rich'?,wealthy|poor|needy|destitute, wealthy, 2
English,blank,A ______ is used to indicate a pause.,,comma,2
English,choice,What is the antonym of 'clean'?,dirty|tidy|neat|orderly, dirty, 2
English,blank,The past tense of 'write' is ______.,,wrote,2
English,choice,What is the synonym of 'happy'?,joyful|sad|angry|excited, joyful, 2
English,blank,The plural of 'sheep' is ______.,,sheep,2
English,choice,What is the antonym of 'full'?,empty|complete|filled|stuffed, empty, 2
English,blank,A ______ is used to show a direct quote.,,quotation mark,2
English,blank,The past tense of the verb "go" is ______.,,went,3
English,blank,A word that is opposite in meaning to another word is called an ______.,,antonym,3
English,blank,The study of the structure and meaning of words is called ______.,,etymology,3
English,blank,A ______ is a group of words that express a complete thought.,,sentence,3
English,blank,A ______ is a figure of speech that makes a comparison between two things without using "like" or "as.",,metaphor,3
English,choice,Which of the following is a preposition?,"And|But|From|Why",From,3
English,choice,Which of the following is an example of an adverb?,"Quickly|Book|Laugh|Table",Quickly,3
English,choice,What is the correct way to spell the plural of "box"?,"Boxs|Boxez|Boxes|Boxies",Boxes,3
English,choice,Which of the following is a verb?,"Apple|Run|Red|Because",Run,3
English,choice,Which of the following is a synonym for "intelligent"?,"Foolish|Clever|Lazy|Angry",Clever,3

Computer,choice,What does CPU stand for?,Central Processing Unit|Central Programming Unit|Computer Personal Unit|Central Processor Unit, Central Processing Unit, 1
Computer,blank,The device used to input text is a ______.,,keyboard,1
Computer,choice,What does RAM stand for?,Random Access Memory|Read Access Memory|Run Access Memory|Read And Memory, Random Access Memory, 1
Computer,blank,The brain of the computer is the ______.,,CPU,1
Computer,choice,What is the primary function of an operating system?,Manage hardware and software|Run applications|Provide entertainment|Store data, Manage hardware and software, 1
Computer,blank,The software used to browse the internet is called a ______.,,browser,1
Computer,choice,What does HTML stand for?,HyperText Markup Language|HyperText Making Language|HyperTool Markup Language|HyperLink Markup Language, HyperText Markup Language, 1
Computer,blank,The protocol used to transfer web pages is ______.,,HTTP,1
Computer,choice,What does LAN stand for?,Local Area Network|Long Area Network|Local Access Network|Large Area Network, Local Area Network, 1
Computer,blank,The primary language of the web is ______.,,HTML,1
Computer,choice,What does SSD stand for?,Solid State Drive|Solid State Disk|Solid Storage Drive|Solid Storage Disk, Solid State Drive, 1
Computer,blank,The permanent storage of a computer is the ______.,,hard drive,1
Computer,choice,What is the primary function of a firewall?,Protect against unauthorized access|Run applications|Store data|Provide entertainment, Protect against unauthorized access, 1
Computer,blank,The network used for local communication is a ______.,,LAN,1
Computer,choice,What does USB stand for?,Universal Serial Bus|Universal System Bus|Universal Storage Bus|Universal Service Bus, Universal Serial Bus, 1
Computer,blank,The software that controls the hardware is the ______.,,operating system,1
Computer,choice,What does GUI stand for?,Graphical User Interface|General User Interface|Graphical Unit Interface|General Unit Interface, Graphical User Interface, 1
Computer,blank,The input device used to point and click is a ______.,,mouse,1
Computer,choice,What does DNS stand for?,Domain Name System|Domain Network System|Digital Name System|Digital Network System, Domain Name System, 1
Computer,blank,The temporary storage of a computer is the ______.,,RAM,1
Computer,choice,What does URL stand for?,Uniform Resource Locator|Universal Resource Locator|Uniform Resource Link|Universal Resource Link, Uniform Resource Locator, 2
Computer,blank,The software used to create documents is a ______.,,word processor,2
Computer,choice,What does IP stand for?,Internet Protocol|Internet Program|Internal Protocol|Internal Program, Internet Protocol, 2
Computer,blank,The hardware that outputs visual display is a ______.,,monitor,2
Computer,choice,What is the primary function of a router?,Direct network traffic|Run applications|Store data|Provide entertainment, Direct network traffic, 2
Computer,blank,The storage medium that uses magnetic disks is a ______.,,hard drive,2
Computer,choice,What does HTTP stand for?,HyperText Transfer Protocol|HyperText Transfer Program|HyperText Transmission Protocol|HyperText Transmission Program, HyperText Transfer Protocol, 2
Computer,blank,The software that allows for browsing the web is a ______.,,browser,2
Computer,choice,What does FTP stand for?,File Transfer Protocol|File Transfer Program|File Transmission Protocol|File Transmission Program, File Transfer Protocol, 2
Computer,blank,The protocol for secure communication is ______.,,HTTPS,2
Computer,choice,What does URL stand for?,Uniform Resource Locator|Universal Resource Locator|Uniform Resource Link|Universal Resource Link, Uniform Resource Locator, 2
Computer,blank,The device used to display output is a ______.,,monitor,2
Computer,choice,What does DNS stand for?,Domain Name System|Domain Network System|Digital Name System|Digital Network System, Domain Name System, 2
Computer,blank,The permanent storage of a computer is the ______.,,hard drive,2
Computer,choice,What does GUI stand for?,Graphical User Interface|General User Interface|Graphical Unit Interface|General Unit Interface, Graphical User Interface, 2
Computer,blank,The input device used to type text is a ______.,,keyboard,2
Computer,choice,What does CPU stand for?,Central Processing Unit|Central Programming Unit|Computer Personal Unit|Central Processor Unit, Central Processing Unit, 2
Computer,blank,The temporary storage of a computer is the ______.,,RAM,2
Computer,choice,What does LAN stand for?,Local Area Network|Long Area Network|Local Access Network|Large Area Network, Local Area Network, 2
Computer,blank,The software that controls the hardware is the ______.,,operating system,2
Computer,choice,What does HTML stand for?,HyperText Markup Language|HyperText Making Language|HyperTool Markup Language|HyperLink Markup Language, HyperText Markup Language, 2
Computer,blank,The brain of the computer is the ______.,,CPU,2
Computer,choice,What does RAM stand for?,Random Access Memory|Read Access Memory|Run Access Memory|Read And Memory, Random Access Memory, 2
Computer,blank,The device used to input text is a ______.,,keyboard,2
Computer,choice,What does SSD stand for?,Solid State Drive|Solid State Disk|Solid Storage Drive|Solid Storage Disk, Solid State Drive, 2
Computer,blank,The network used for local communication is a ______.,,LAN,2
Computer,choice,What does USB stand for?,Universal Serial Bus|Universal System Bus|Universal Storage Bus|Universal Service Bus, Universal Serial Bus, 2
Computer,blank,The hardware that outputs sound is a ______.,,speaker,2
Computer,choice,What does IP stand for?,Internet Protocol|Internet Program|Internal Protocol|Internal Program, Internet Protocol, 2
Computer,blank,The protocol used to transfer web pages is ______.,,HTTP,2
Computer,choice,"Which of the following is not a programming paradigm?","Procedural|Object-Oriented|Functional|Microsoft",Microsoft,3
Computer,choice,"What is the time complexity of the quicksort algorithm in the average case?","O(n)|O(n^2)|O(n log n)|O(log n)","O(n log n)",3
Computer,choice,Which of the following is a NoSQL database?,MySQL|PostgreSQL|MongoDB|Oracle,MongoDB,3
Computer,choice,"What is the name of the data structure used in the implementation of a web browser's back and forward buttons?","Queue|Stack|Tree|Linked List",Stack,3
Computer,choice,"Which of the following is a characteristic of the Agile software development methodology?","Big Design Upfront|Comprehensive Documentation|Iterative Development|Waterfall Model",Iterative Development,3
Computer,choice,"What is the purpose of the 'finally' block in Java exception handling?","To execute code regardless of whether an exception is thrown or not|To handle a specific type of exception|To create a new exception|To catch and rethrow an exception","To execute code regardless of whether an exception is thrown or not",3
Computer,choice,Which of the following is a type of computer network topology?,Ring|Mesh|Bus|All of the above,All of the above,3
Computer,choice,"What is the name of the algorithm used by search engines to rank web pages?","Bubble Sort|Merge Sort|PageRank|Quicksort",PageRank,3
Computer,choice,"Which of the following is a type of relation in the relational database model?","One-to-one|One-to-many|Many-to-many|All of the above","All of the above",3
Computer,choice,"What is the purpose of a virtual machine in the context of software development?","To translate high-level programming languages into machine code|To provide a platform-independent environment for running programs|To optimize code for better performance|To create graphical user interfaces","To provide a platform-independent environment for running programs",3
Computer,blank,The process of converting high-level programming language code into machine-readable code is called ______.,,compilation,3
Computer,blank,The ______ is the primary storage unit of a computer system.,,RAM (Random Access Memory),3
Computer,blank,The ______ protocol is used for sending and receiving email over the internet.,,SMTP (Simple Mail Transfer Protocol),3
Computer,blank,The ______ is the set of rules and conventions that govern how data is transmitted over a network.,,protocol,3
Computer,blank,"In the context of computer security, ______ is the process of identifying and authenticating users or devices.",,authentication,3
Computer,blank,The ______ is the set of instructions that tells the computer what to do.,,program,3
Computer,blank,The ______ is the smallest addressable unit of memory in a computer system.,,byte,3
Computer,blank,"The process of breaking down a complex problem into smaller, more manageable parts is known as ______.",,decomposition,3
Computer,blank,The ______ is a software component that manages system resources and provides services to other programs.,,operating system,3
Computer,blank,In computer networks ______ is the process of dividing data into smaller units for transmission and reassembling it at the destination.,,packet switching,3
